id,category,query,answer,expected_answer,sources,faithfulness,faithfulness_notes,relevance,relevance_notes,context_recall,context_recall_notes,completeness,completeness_notes,config_label
q01,SLA,SLA xử lý ticket P1 là bao lâu?,SLA xử lý ticket P1 là 15 phút cho phản hồi ban đầu và 4 giờ cho xử lý và khắc phục [1].,Ticket P1 có SLA phản hồi ban đầu 15 phút và thời gian xử lý (resolution) là 4 giờ.,"['policy/refund-v4.pdf', 'support/sla-p1-2026.pdf']",5,"Mọi thông tin trong câu trả lời đều có trong context, cụ thể là thời gian phản hồi ban đầu và thời gian xử lý và khắc phục của ticket P1.",5,"Câu trả lời trực tiếp và đầy đủ, cung cấp thông tin chính xác về SLA xử lý ticket P1.",5,Recall=100% (1/1),5,"Câu trả lời bao gồm đầy đủ tất cả các điểm quan trọng về SLA xử lý ticket P1, không thiếu thông tin nào.",variant_hybrid_rerank
q02,Refund,Khách hàng có thể yêu cầu hoàn tiền trong bao nhiêu ngày?,"Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng [1], [3].",Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.,['policy/refund-v4.pdf'],5,"Mọi thông tin trong câu trả lời đều có xuất phát từ context, cụ thể là thời gian yêu cầu hoàn tiền được nêu rõ trong tài liệu.",5,"Câu trả lời trực tiếp và đầy đủ, cung cấp thông tin chính xác về thời gian khách hàng có thể yêu cầu hoàn tiền.",5,Recall=100% (1/1),5,"Câu trả lời bao gồm đầy đủ thông tin như trong expected answer, không thiếu sót chi tiết nào.",variant_hybrid_rerank
q03,Access Control,Ai phải phê duyệt để cấp quyền Level 3?,"Để cấp quyền Level 3, cần có sự phê duyệt của Line Manager, IT Admin và IT Security [2].","Level 3 (Elevated Access) cần phê duyệt từ Line Manager, IT Admin, và IT Security.",['it/access-control-sop.md'],5,"Mọi thông tin trong câu trả lời đều có trong context, cụ thể là yêu cầu phê duyệt cho Level 3.",5,"Câu trả lời đã nêu rõ các bên cần phê duyệt để cấp quyền Level 3, đáp ứng đầy đủ yêu cầu của câu hỏi.",5,Recall=100% (1/1),5,Câu trả lời bao gồm đầy đủ tất cả các điểm quan trọng như trong expected answer.,variant_hybrid_rerank
q04,Refund,Sản phẩm kỹ thuật số có được hoàn tiền không?,Sản phẩm kỹ thuật số không được hoàn tiền. Các sản phẩm thuộc danh mục hàng kỹ thuật số như license key và subscription nằm trong danh sách ngoại lệ không được hoàn tiền [1].,"Không. Theo chính sách hoàn tiền, sản phẩm thuộc danh mục hàng kỹ thuật số (license key, subscription) là ngoại lệ không được hoàn tiền.",['policy/refund-v4.pdf'],5,"Mọi thông tin trong câu trả lời đều có trong context, cụ thể là thông tin về sản phẩm kỹ thuật số không được hoàn tiền và các ví dụ cụ thể như license key và subscription.",5,"Câu trả lời trực tiếp và đầy đủ, giải thích rõ ràng rằng sản phẩm kỹ thuật số không được hoàn tiền và cung cấp thông tin về các loại sản phẩm cụ thể nằm trong danh sách ngoại lệ.",5,Recall=100% (1/1),5,Câu trả lời bao gồm đầy đủ thông tin quan trọng và chính xác như trong expected answer.,variant_hybrid_rerank
q05,IT Helpdesk,Tài khoản bị khóa sau bao nhiêu lần đăng nhập sai?,"Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp. Để mở khóa, bạn có thể liên hệ IT Helpdesk hoặc tự reset qua portal SSO [1].",Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp.,"['support/helpdesk-faq.md', 'policy/refund-v4.pdf']",5,"Mọi thông tin trong câu trả lời đều có trong context, cụ thể là thông tin về việc tài khoản bị khóa sau 5 lần đăng nhập sai và cách mở khóa.",5,"Câu trả lời trực tiếp và đầy đủ, cung cấp thông tin chính xác về số lần đăng nhập sai và cách mở khóa tài khoản.",5,Recall=100% (1/1),5,"Câu trả lời bao gồm đầy đủ thông tin quan trọng, đúng với expected answer.",variant_hybrid_rerank
q06,SLA,Escalation trong sự cố P1 diễn ra như thế nào?,"Escalation trong sự cố P1 diễn ra như sau:

1. Nếu không có phản hồi trong 10 phút kể từ khi ticket được tạo, ticket sẽ tự động escalate lên Senior Engineer.
2. On-call IT Admin có thể cấp quyền tạm thời (tối đa 24 giờ) để khắc phục sự cố sau khi được Tech Lead phê duyệt bằng lời. 
3. Sau 24 giờ, phải có ticket chính thức hoặc quyền sẽ bị thu hồi tự động. 
4. Tất cả quyền tạm thời phải được ghi log vào hệ thống Security Audit [1][2].",Ticket P1 tự động escalate lên Senior Engineer nếu không có phản hồi trong 10 phút sau khi tạo ticket.,"['support/sla-p1-2026.pdf', 'it/access-control-sop.md']",5,"Mọi thông tin trong câu trả lời đều có xuất phát từ tài liệu retrieved, không có chi tiết nào không có trong context.",5,"Câu trả lời giải quyết đúng trọng tâm câu hỏi về quy trình escalation trong sự cố P1, cung cấp đầy đủ các bước và điều kiện liên quan.",5,Recall=100% (1/1),4,"Câu trả lời thiếu một chi tiết nhỏ là không đề cập đến việc ticket P1 tự động escalate lên Senior Engineer, mà chỉ nói về việc không có phản hồi trong 10 phút.",variant_hybrid_rerank
q07,Access Control,Approval Matrix để cấp quyền hệ thống là tài liệu nào?,Không đủ dữ liệu trong tài liệu hiện có để trả lời câu hỏi này.,Tài liệu 'Approval Matrix for System Access' hiện tại có tên mới là 'Access Control SOP' (access-control-sop.md).,['it/access-control-sop.md'],1,"Câu trả lời không dựa trên thông tin nào từ context, mà chỉ khẳng định rằng không có dữ liệu, điều này không phản ánh nội dung của tài liệu đã retrieve.",1,"Câu trả lời không cung cấp thông tin nào liên quan đến câu hỏi về Approval Matrix, do đó không trả lời được câu hỏi.",5,Recall=100% (1/1),1,"Câu trả lời thiếu phần lớn nội dung cốt lõi, không đề cập đến tên tài liệu cụ thể và thông tin quan trọng về tên mới của tài liệu.",variant_hybrid_rerank
q08,HR Policy,Nhân viên được làm remote tối đa mấy ngày mỗi tuần?,"Nhân viên được làm remote tối đa 2 ngày mỗi tuần sau khi đã qua probation period, và lịch remote phải được Team Lead phê duyệt qua HR Portal [1].","Nhân viên sau probation period có thể làm remote tối đa 2 ngày/tuần, với điều kiện được Team Lead phê duyệt.","['hr/leave-policy-2026.pdf', 'it/access-control-sop.md']",5,"Mọi thông tin trong câu trả lời đều có trong context, cụ thể là điều kiện làm remote và yêu cầu phê duyệt.",5,"Câu trả lời trực tiếp và đầy đủ, cung cấp thông tin chính xác về số ngày làm remote và điều kiện cần thiết.",5,Recall=100% (1/1),5,"Câu trả lời bao gồm đầy đủ tất cả thông tin quan trọng từ expected answer, không thiếu sót chi tiết nào.",variant_hybrid_rerank
q09,Insufficient Context,ERR-403-AUTH là lỗi gì và cách xử lý?,Không đủ dữ liệu trong tài liệu hiện có để trả lời câu hỏi này.,"Không tìm thấy thông tin về ERR-403-AUTH trong tài liệu hiện có. Đây có thể là lỗi liên quan đến xác thực (authentication), hãy liên hệ IT Helpdesk.","['policy/refund-v4.pdf', 'support/sla-p1-2026.pdf', 'it/access-control-sop.md']",5,"Câu trả lời hoàn toàn chính xác vì nó phản ánh đúng tình trạng của thông tin trong context, không có thông tin nào được thêm vào từ kiến thức của mô hình.",1,"Câu trả lời không cung cấp thông tin nào về lỗi ERR-403-AUTH và cách xử lý, hoàn toàn không trả lời câu hỏi.",,No expected sources (abstain question),1,"Câu trả lời thiếu phần lớn nội dung cốt lõi, không cung cấp thông tin về lỗi ERR-403-AUTH và cách xử lý.",variant_hybrid_rerank
q10,Refund,"Nếu cần hoàn tiền khẩn cấp cho khách hàng VIP, quy trình có khác không?",Không đủ dữ liệu trong tài liệu hiện có để trả lời câu hỏi này.,"Tài liệu chính sách hoàn tiền không đề cập đến quy trình đặc biệt cho khách hàng VIP. Theo chính sách hiện hành, tất cả yêu cầu hoàn tiền đều theo cùng quy trình tiêu chuẩn trong 3-5 ngày làm việc.","['policy/refund-v4.pdf', 'it/access-control-sop.md']",1,"Câu trả lời không dựa trên bất kỳ thông tin nào trong context, chủ yếu bịa đặt.",1,"Câu trả lời không giải quyết câu hỏi về quy trình hoàn tiền khẩn cấp cho khách hàng VIP, mà chỉ nói rằng không có đủ dữ liệu.",5,Recall=100% (1/1),2,"Câu trả lời thiếu thông tin quan trọng về chính sách hoàn tiền cho khách hàng VIP và quy trình tiêu chuẩn, chỉ nêu rằng không có đủ dữ liệu mà không cung cấp thông tin cần thiết.",variant_hybrid_rerank
